pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_34_trace,2.8801,2.8455,0.034600000000000186
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_16_trace,6.0105,5.8279,0.18260000000000076
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_17_trace,5.0345,4.8436,0.19090000000000007
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_28_trace,3.3729,3.2163,0.15660000000000007
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_29_trace,11.9748,11.4747,0.5000999999999998
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_2_trace,10.8678,9.9876,0.8802000000000003
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_3_trace,0.763,0.7862,-0.0232
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_8_trace,5.9655,5.838,0.1274999999999995
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_9_trace,3.9419,3.6628,0.2791000000000001
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_22_trace,5.247,4.2827,0.9642999999999997
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_23_trace,3.4717,3.3033,0.16839999999999966
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_31_trace,0.7521,0.6011,0.15100000000000002
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_30_trace,12.4295,11.9056,0.5239000000000011
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_18_trace,0.8006,0.6654,0.1352
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_19_trace,0.8155,0.7618,0.05369999999999997
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_26_trace,1.2909,1.195,0.09589999999999987
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_27_trace,0.8364,0.7727,0.06369999999999998
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_12_trace,0.4406,0.4037,0.03689999999999999
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_13_trace,0.8664,0.8585,0.007899999999999907
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_6_trace,2.9749,2.927,0.04789999999999983
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_7_trace,4.6386,4.3978,0.24080000000000013
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_21_trace,23.2204,23.3263,-0.10589999999999833
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_20_trace,2.4574,2.3835,0.07389999999999963
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_15_trace,0.4732,0.462,0.011199999999999988
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_14_trace,0.3731,0.3781,-0.0050000000000000044
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_1_trace,11.6182,10.513,1.1052
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_0_trace,4.3111,4.7498,-0.43869999999999987
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,int_36_trace,3.0431,3.0001,0.042999999999999705
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,media_3_trace,1.315,1.2465,0.0685
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,media_2_trace,0.5319,0.5057,0.0262
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,media_0_trace,1.1127,1.0511,0.0616000000000001
programming-idiom-predictor-mose,tage-scl-andrez-seznec-results,media_1_trace,1.0802,1.0257,0.05449999999999999
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_1_trace,1.5125,1.658,-0.14549999999999996
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_4_trace,1.6297,1.8006,-0.17090000000000005
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_2_trace,1.3543,1.4576,-0.10329999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_6_trace,1.6906,1.8788,-0.18819999999999992
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_5_trace,1.7338,1.905,-0.17120000000000002
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_1_trace,0.2954,0.3472,-0.05180000000000001
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_0_trace,0.9098,1.2553,-0.34550000000000003
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_7_trace,1.1914,1.4115,-0.22009999999999996
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_6_trace,1.1585,1.2048,-0.04630000000000001
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_4_trace,2.0099,2.4266,-0.41670000000000007
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_15_trace,8.1676,8.3148,-0.14719999999999978
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_10_trace,5.0157,5.2213,-0.20560000000000045
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_11_trace,0.9728,0.9942,-0.021399999999999975
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_14_trace,5.0633,5.2755,-0.21220000000000017
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_5_trace,1.9951,2.1961,-0.20099999999999985
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_8_trace,1.2466,1.2477,-0.001100000000000101
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_9_trace,4.4829,4.5259,-0.04300000000000015
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_21_trace,1.4572,1.5309,-0.07369999999999988
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_15_trace,5.1194,5.0656,0.05379999999999985
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_20_trace,3.2357,3.1869,0.048799999999999955
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_0_trace,3.0968,3.2129,-0.11609999999999987
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_18_trace,2.6603,2.7196,-0.05929999999999991
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_3_trace,7.6547,8.1117,-0.45700000000000074
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_19_trace,5.0857,5.0555,0.030199999999999783
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_12_trace,0.9525,0.9739,-0.021399999999999975
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_3_trace,0.6962,1.0284,-0.33219999999999994
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_13_trace,3.8347,4.063,-0.2282999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_12_trace,3.8556,3.9415,-0.08590000000000009
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,compress_7_trace,1.8067,2.0384,-0.23170000000000024
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_0_trace,1.3079,1.3299,-0.02200000000000002
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_17_trace,1.3943,1.4521,-0.05779999999999985
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_1_trace,3.1522,3.2097,-0.05750000000000011
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_16_trace,1.5812,1.6055,-0.02429999999999999
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_22_trace,3.1805,3.2305,-0.050000000000000266
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_7_trace,4.3005,6.009,-1.7085
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_11_trace,4.644,4.6736,-0.029600000000000293
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_23_trace,0.9431,1.0101,-0.06699999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_14_trace,3.4365,3.6001,-0.16359999999999975
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_13_trace,2.9155,2.9537,-0.03819999999999979
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,infra_2_trace,0.3041,0.4526,-0.14850000000000002
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_6_trace,4.5642,4.5613,0.0028999999999994586
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_3_trace,3.5768,3.5579,0.018899999999999917
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_10_trace,2.8319,2.8395,-0.007600000000000051
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_2_trace,3.7775,3.7474,0.030100000000000016
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_25_trace,5.7401,5.7951,-0.054999999999999716
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_24_trace,1.6068,1.6777,-0.07089999999999996
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_9_trace,2.5137,2.4648,0.048900000000000166
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_8_trace,4.6201,4.5731,0.04699999999999971
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_4_trace,4.0301,4.0201,0.009999999999999787
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,web_5_trace,4.3207,4.2642,0.05650000000000066
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_3_trace,1.8233,1.906,-0.0827
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_2_trace,2.4245,2.5507,-0.12619999999999987
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_1_trace,14.9323,15.5963,-0.6639999999999997
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_4_trace,0.5119,0.5696,-0.057699999999999974
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_0_trace,3.2189,3.2242,-0.005300000000000082
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_8_trace,3.6875,7.467,-3.7794999999999996
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_13_trace,12.2224,12.4504,-0.22799999999999976
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_9_trace,4.0783,4.1115,-0.033200000000000784
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_12_trace,1.0294,1.0944,-0.06499999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_5_trace,0.925,0.9369,-0.01189999999999991
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_5_trace,2.7058,2.8367,-0.13090000000000002
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_10_trace,1.9757,1.9156,0.06010000000000004
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_6_trace,0.9122,0.8987,0.013499999999999956
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_11_trace,0.5646,0.628,-0.06340000000000001
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_25_trace,1.3232,1.3109,0.012299999999999978
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_24_trace,0.5127,0.5882,-0.0754999999999999
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,fp_7_trace,0.9805,1.0028,-0.022299999999999875
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_11_trace,3.8873,4.0381,-0.15079999999999982
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_10_trace,0.4966,0.5221,-0.025500000000000023
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_4_trace,3.593,3.7664,-0.1734
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_35_trace,2.0515,2.2551,-0.20360000000000023
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_34_trace,2.7686,2.9562,-0.18759999999999977
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_2_trace,9.2321,10.7227,-1.4905999999999988
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_28_trace,3.2288,3.3954,-0.16659999999999986
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_16_trace,5.7002,5.5268,0.1734
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_17_trace,4.7567,4.6916,0.06510000000000016
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_29_trace,11.4097,11.716,-0.30629999999999846
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_3_trace,0.776,0.8168,-0.04079999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_8_trace,5.7914,5.7846,0.006800000000000139
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_32_trace,6.3313,6.6269,-0.2956000000000003
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_9_trace,3.6499,3.6406,0.009300000000000086
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_22_trace,3.9029,4.8095,-0.9066000000000001
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_33_trace,7.2565,7.6605,-0.4039999999999999
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_23_trace,3.1675,3.3888,-0.22129999999999983
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_31_trace,0.6026,0.6166,-0.014000000000000012
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_30_trace,11.7569,12.1062,-0.3492999999999995
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_18_trace,0.63,0.7357,-0.10570000000000002
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_19_trace,0.7603,0.7515,0.00880000000000003
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_26_trace,1.2045,1.2387,-0.03420000000000001
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_13_trace,0.8514,0.8891,-0.037699999999999956
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_6_trace,2.7427,2.9419,-0.19919999999999982
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_27_trace,0.782,0.8068,-0.024799999999999933
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_7_trace,4.3413,4.3662,-0.0248999999999997
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_1_trace,9.7511,11.4406,-1.6895000000000007
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_21_trace,21.6842,23.7948,-2.110599999999998
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,media_3_trace,1.2256,1.2518,-0.0262
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_14_trace,0.3713,0.3844,-0.0131
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_0_trace,4.8418,5.0346,-0.19280000000000008
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,media_0_trace,1.033,1.0617,-0.02870000000000017
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,media_2_trace,0.5058,0.5065,-0.0006999999999999229
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_12_trace,0.4177,0.424,-0.006299999999999972
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,media_1_trace,1.0414,1.0357,0.005700000000000038
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_20_trace,2.3305,2.3512,-0.020700000000000163
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_36_trace,2.9736,2.9342,0.03939999999999966
register-value-aware-toru-results,tage-sc-l-alberto-ros-results,int_15_trace,0.4318,0.4705,-0.03869999999999996
register-value-aware-toru-results,tage-scl-andrez-seznec-results,compress_1_trace,1.5125,1.633,-0.12050000000000005
register-value-aware-toru-results,tage-scl-andrez-seznec-results,compress_4_trace,1.6297,1.7816,-0.15190000000000015
register-value-aware-toru-results,tage-scl-andrez-seznec-results,compress_2_trace,1.3543,1.4407,-0.08640000000000003
register-value-aware-toru-results,tage-scl-andrez-seznec-results,compress_6_trace,1.6906,1.8582,-0.16759999999999997
register-value-aware-toru-results,tage-scl-andrez-seznec-results,compress_5_trace,1.7338,1.882,-0.1481999999999999
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_1_trace,0.2954,0.3743,-0.07890000000000003
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_0_trace,0.9098,1.2453,-0.3355
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_7_trace,1.1914,1.4041,-0.2126999999999999
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_6_trace,1.1585,1.19,-0.03149999999999986
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_4_trace,2.0099,2.3855,-0.37559999999999993
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_15_trace,8.1676,8.2764,-0.10880000000000045
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_10_trace,5.0157,5.1442,-0.12849999999999984
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_11_trace,0.9728,0.9468,0.026000000000000023
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_14_trace,5.0633,5.1953,-0.13199999999999967
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_5_trace,1.9951,2.2161,-0.22099999999999986
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_8_trace,1.2466,1.2587,-0.0121
register-value-aware-toru-results,tage-scl-andrez-seznec-results,infra_9_trace,4.4829,4.4643,0.018600000000000172
